,mirna,fam,count
208,Hsa-Mir-642_pre,Mir-642,4
209,Hsa-Mir-875_pre,Mir-875,4
210,Hsa-Mir-3126_pre,Mir-3126,4
211,Hsa-Mir-653_pre,Mir-653,4
212,Hsa-Mir-491_pre,Mir-491,4
213,Hsa-Mir-199-P3-v2_pre,Mir-199,3
214,Hsa-Mir-196-P1_pre,Mir-196,2
215,Hsa-Mir-506-P4a1_pre,Mir-506,0
216,Hsa-Mir-19-P2a_pre,Mir-19,4
217,Hsa-Mir-154-P4a_pre,Mir-154,2
218,Hsa-Mir-345_pre,Mir-345,4
219,Hsa-Mir-3942_pre,Mir-3942,4
220,Hsa-Mir-346_pre,Mir-346,4
221,Hsa-Mir-8-P2b_pre,Mir-8,4
222,Hsa-Mir-3138_pre,Mir-3138,4
223,Hsa-Mir-95-P3-v1_pre,Mir-95,3
224,Hsa-Mir-9-P3_pre,Mir-9,4
225,Hsa-Mir-29-P1a_pre,Mir-29,4
226,Hsa-Mir-135-P1_pre,Mir-135,2
227,Hsa-Mir-130-P1a_pre,Mir-130,4
228,Hsa-Mir-430-P13_pre,Mir-430,4
229,Hsa-Mir-33-P1_pre,Mir-33,4
230,Hsa-Mir-101-P2-v1_pre,Mir-101,4
231,Hsa-Mir-887_pre,Mir-887,4
232,Hsa-Mir-5683_pre,Mir-5683,4
233,Hsa-Mir-1269_pre,Mir-1269,4
234,Hsa-Mir-430-P15b_pre,Mir-430,2
235,Hsa-Mir-934_pre,Mir-934,4
236,Hsa-Mir-3611_pre,Mir-3611,4
237,Hsa-Mir-154-P3b_pre,Mir-154,2
238,Hsa-Mir-154-P26_pre,Mir-154,2
239,Hsa-Mir-374-P2_pre,Mir-374,3
240,Hsa-Mir-140-v1_pre,Mir-140,4
